IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,REGION
SAT,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978,South
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214,South
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037,West
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,USA,41.70895,-86.31847,Midwest
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64239,West
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,West
SCE,University Park Airport,State College,PA,USA,40.85121,-77.8463,Northeast
SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA,38.17439,-85.736,South
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,West
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,West
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,Midwest
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,West
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,South
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,West
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,West
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,South
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183,Over Seas Territory
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,West
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,West
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,West
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,West
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,Midwest
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,South
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,South
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,Midwest
